slide_id,process,status,seg_level,sthresh,mthresh,close,use_otsu,a_t,a_h,max_n_holes,vis_level,line_thickness,use_padding,contour_fn
TCGA-A2-A0CM-01A-03-TSC.7f2cc1ed-793e-4717-92fd-da1aa4424aed.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-A2-A0EQ-01A-01-BSA.fa7a323e-2939-4941-a56f-3b7352b16050.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-A2-A0EX-01Z-00-DX1.F4C293E9-9BB2-48A1-8080-5F3082E219C5.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-A2-A0YD-01A-01-BSA.dbbc3956-3306-4e98-904d-15ed9c0ff148.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-A2-A0YF-01A-02-MSB.2e4e34a9-4701-4b96-b3d6-22d46c792fa9.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-A2-A1G4-01Z-00-DX1.0274DF5B-5920-419A-B778-2F04D9C602F2.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-A7-A0CE-01A-01-BS1.33fde61b-7c02-43d1-978f-56808f6a278e.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-A7-A0CJ-01A-02-BSB.c0dd564e-d0a6-4e94-b050-824b05d29f23.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-A7-A0DA-01Z-00-DX2.90C93176-C3C6-41B3-B34B-B16F1A1779E6.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-A7-A3IZ-01Z-00-DX1.7437130B-DF49-40C8-ABCD-FF9364B9B1B0.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-A7-A4SA-01Z-00-DX1.B48FFD3E-9B45-4CEA-ACEE-5B08058CCF5F.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-A7-A5ZX-01Z-00-DX2.02F586FE-4775-480B-8035-D6AD3386F45D.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-A7-A6VX-01Z-00-DX2.9EE94B59-6A2C-4507-AA4F-DC6402F2B74F.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-A8-A07E-01A-01-TS1.6861c3fd-60df-457a-8d4f-28298d7d15c6.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
