slide_id,process,status,seg_level,sthresh,mthresh,close,use_otsu,a_t,a_h,max_n_holes,vis_level,line_thickness,use_padding,contour_fn
TCGA-3X-AAV9-01Z-00-DX1.308BB261-7A52-434F-94E6-F07379F43A1B.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-3X-AAVA-01Z-00-DX1.A04F5D5B-5D2B-478E-90BE-572DC5E3FAE6.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-3X-AAVB-01Z-00-DX1.E3ACE310-E861-488D-A1BC-8BF59AE1778E.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-3X-AAVE-01Z-00-DX1.26FC1984-B066-4BE4-9A5A-DFEC74D4C582.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-4G-AAZG-01A-01-TS1.2831B8F1-9788-417C-8288-B105880E5F92.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-4G-AAZO-01A-01-TS1.6B4F7D2A-3AD9-4BA0-92AE-020618504740.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-4G-AAZO-01Z-00-DX1.B3E01FF4-2D88-49D5-8D09-582B68B2EA12.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-4G-AAZR-01A-01-TS1.26D227F7-7627-43AF-A684-5D0BF0253E00.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-4G-AAZT-01A-01-TS1.0E610786-FBA0-4BD8-A6F8-8B2707070992.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-4G-AAZT-01Z-00-DX1.2E91D9BC-6C6A-4357-83F8-E27E28C958D0.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-5A-A8ZF-01A-01-TSA.184BA819-6C0C-4E68-8508-7DB42A183A76.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-5A-A8ZG-01A-01-TS1.694DE97B-58AF-4F94-961B-5F3D215F53F0.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-W5-AA2G-01Z-00-DX1.DA30CC19-6DDF-4A23-8FC6-D800155FAAC5.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-W5-AA2I-01A-03-TSC.5BD2E12B-5F9F-4B24-B516-A026BAA06C71.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-W5-AA2I-01Z-00-DX1.7A0ED531-4BC7-4CF8-AD01-C57D9070B2EB.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-W5-AA2J-01A-03-TSC.28A3ECB6-8103-4083-8663-E06029B1819B.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-W5-AA2K-01A-01-TSA.8D5B728E-7C86-46BA-8620-4579225A2E99.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-W5-AA2O-01Z-00-DX1.2A089837-4C85-492B-8EB3-F7C51B8ADF55.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-W5-AA2Q-01A-01-TSA.1602441F-2B92-467C-A64E-9C3B15453794.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-W5-AA2R-01A-01-TSA.92296CAC-C184-438F-8282-9DC3786C0412.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-W5-AA2T-01A-01-TS1.F9D87772-3039-4DF4-B7C7-66B9DCA8FEF9.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-W5-AA2T-01Z-00-DX1.0DC8411E-9AAA-4DA0-AF3D-E1E2A59AF229.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-W5-AA2U-01Z-00-DX1.156F2419-5D8B-410C-B1CA-20F60602A5BA.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-W5-AA2W-01A-01-TS1.2BE0BA42-3D4D-485B-B3EA-B721F2018FF5.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
