slide_id,process,status,seg_level,sthresh,mthresh,close,use_otsu,a_t,a_h,max_n_holes,vis_level,line_thickness,use_padding,contour_fn
TCGA-2Y-A9HA-01Z-00-DX1.207BE113-34E5-4C03-BE26-96E6CFDA9D9B.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-3K-AAZ8-01A-01-TSA.2FE2A5D5-4E48-4128-BFEA-5FDF64AD9765.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-BC-4072-01B-01-TS1.cdb88c23-d360-4400-9017-d8e2f253ddee.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-BC-4072-01Z-00-DX1.8D27B669-CD01-4018-828E-1B87AA1649B5.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-BC-4073-01Z-00-DX1.2719E599-CE6A-41B9-8134-FA09FE58F94D.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-BC-A10U-01A-01-BSA.f4aa8e25-6c8e-492d-997b-4ade187a46ee.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-BC-A10U-01A-01-TSA.eef9c91e-d026-4e78-ac1e-46e1e157fcfc.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-BC-A10W-01A-01-TS1.69facfc2-1915-4190-a679-fa0c43c8d909.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-BC-A10Y-01A-01-BS1.28982e96-e18c-4538-a520-b30b63ddf950.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-BC-A216-01A-01-TSA.3245ca90-38d8-4e52-a93c-c850781e3536.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-BC-A3KF-01A-01-TS1.E7EA9574-F419-412A-BD9F-D394C0F72390.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-BW-A5NQ-01Z-00-DX1.F5543010-CBEB-4BA3-8402-1332A8617A76.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-CC-A7IH-01Z-00-DX1.3905C6E9-5AD8-4135-8215-9D41DFD61DFA.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-CC-A7IK-01Z-00-DX1.AE013D44-A3C6-407B-A295-7E82DBB41C27.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-CC-A8HU-01Z-00-DX1.6B01A0BF-8E53-4783-AA97-5A2AB2C0C52C.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-DD-A1E9-01A-02-TSB.be2529ce-73cb-4e69-9166-6e7a0c4e15b9.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-DD-A1EH-01A-01-TS1.a8728f9e-ae4c-4c71-aabc-c055f5115669.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-DD-A1EI-01Z-00-DX1.17B89079-68F9-43FD-AFEF-499F39248DA7.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-DD-A39X-01A-01-TSA.BF8224F4-97C5-48C2-9134-76E7E3A68C60.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-DD-A3A6-01Z-00-DX1.FCF4A7E7-A0F9-4B5D-B751-D990703EA261.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-DD-A4NB-01Z-00-DX1.BCF76D83-2ECB-4D9C-82C7-EE86B872F80C.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-DD-A4NL-01Z-00-DX1.70001978-79E2-4831-A2D4-DF666BBE1B09.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-DD-A4NO-01A-01-TS1.6750EB2C-A421-47C2-82B1-E3EEAC72D997.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-DD-A4NQ-01Z-00-DX1.1D6755EB-58D5-4AA1-ADF4-1EC52B2B3337.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-DD-A4NS-01A-01-TS1.954E6109-C168-430C-BB03-A65EA378967B.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-DD-A73C-01A-01-TS1.4165DDED-8199-4FC2-BB0B-8789AB46757E.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-DD-AACC-01A-01-TS1.15BF9548-D49B-4C1C-BCF5-346FC12D4A22.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-DD-AACE-01A-01-TSA.3D2293C5-AF74-4B87-82AE-F223113DBBEA.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-DD-AACO-01A-01-TS1.D92FB7AF-1ED3-44B8-BD9A-76DEFCE0D163.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-DD-AADB-01Z-00-DX1.F708320D-E595-4196-B133-E097E9C8FC80.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-DD-AADI-01A-01-TS1.1D634EEE-DDA5-47E0-93C4-3C5B7BE4BEE2.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-DD-AADK-01Z-00-DX1.85C2C328-8124-443A-A869-FEBA46EC6A20.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-DD-AADL-01A-01-TS1.CE2E5C4A-379C-4D93-8FF9-53918D81CE0E.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-DD-AADM-01A-01-TS1.BFD06147-1675-446B-B48D-800EB504A477.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-DD-AADR-01A-01-TS1.E8604D51-F569-4872-977A-0547481DA34D.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-DD-AADW-01A-01-TS1.C311E060-43AE-47FE-84A3-86C69ED10ECF.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-DD-AADY-01Z-00-DX1.178DA812-24C2-4018-BDB4-6BB63069DF60.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-DD-AAE3-01A-01-TS1.C4076153-A14A-4B4F-901E-06BA47804604.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-DD-AAE6-01Z-00-DX1.A8DE9B19-8C85-47AE-A32A-38AB6F696CE3.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-DD-AAEE-01A-01-TS1.A59A0C0C-A433-47AF-963A-C67A94A05107.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-DD-AAEH-01Z-00-DX1.588C7665-65A3-43CF-B6AF-C78134667F81.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-DD-AAVU-01Z-00-DX1.304704A9-9D90-4FD7-92A1-6361114D71C4.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-ED-A66X-01Z-00-DX1.281B3FB5-0088-4D8C-9CC2-4F59F21DA6A6.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-ED-A7PX-01Z-00-DX1.D75A1B1F-7062-44D6-8BF0-B511BAF8E45B.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-EP-A26S-01A-01-TSA.D1D0C41E-FBC5-4E57-9980-E0AD3FCE5E0D.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-EP-A3RK-01A-01-TS1.B97A5A42-079E-4F17-AF88-B1921622FEB8.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-FV-A3I0-01Z-00-DX1.097FA95F-471C-4CF7-AA1E-D4A9DB4F55B5.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-FV-A4ZP-01Z-00-DX1.4B78C21C-8033-4870-82D9-5B127D3AF228.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-G3-A25S-01A-01-TSA.F06057F6-F531-49E2-BA31-ADAC89525CFC.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-G3-A25Z-01Z-00-DX1.3BD92D82-195F-41EF-AFA2-B9BF61A0552E.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-G3-A3CJ-01Z-00-DX1.80279A8A-38D9-4B23-8A83-E32D8C4FC6EA.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-G3-A5SK-01A-01-TSA.D566B541-80F8-4B70-8536-D8621B8E8829.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-G3-A5SM-01A-01-TSA.705291F7-62E8-4ED4-ABF9-9579D2136DDE.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-G3-A7M6-01Z-00-DX1.550E0F12-BF91-45B1-9FD7-1FEB1F9E9A12.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-G3-A7M7-01Z-00-DX1.FE77A8FA-9698-44E1-AEA1-A3A4EADFB586.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-MI-A75G-01Z-00-DX1.DD5C8CC3-D7CF-4DB6-B222-86609387D44C.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-MI-A75I-01A-01-TS1.13A79F3E-690F-486B-B6B7-D994F6B49153.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-O8-A75V-01Z-00-DX1.A08377F6-2364-4397-AB5A-84A9EED087D8.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-RC-A6M5-01Z-00-DX1.6CBFAFF7-54F5-4577-B7C3-93A72A24C0EA.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-RC-A7S9-01A-01-TS1.4322E43C-4255-4D67-9A7F-9955752AFDE7.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-RC-A7S9-01Z-00-DX1.B8EF745F-94C1-4115-9B27-EB0C08C053E2.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-UB-A7MC-01A-01-TSA.4EC5DB39-BC40-4687-BFFD-258B7E7BBA6B.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-UB-A7MF-01Z-00-DX1.BED80F46-51CB-4453-B094-DA6B812D1A1A.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-UB-AA0U-01Z-00-DX1.FB596ABD-A3B0-4EC8-B154-D751C7BFE0CE.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-UB-AA0V-01Z-00-DX1.FB59AF14-B425-488D-94FD-E999D4057468.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-WX-AA46-01Z-00-DX1.30A83B36-A242-4846-86D5-F9BA48E42B72.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-YA-A8S7-01A-01-TS1.ADCFFD85-4F92-4A70-B9B9-B02D840F05A7.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
