slide_id,process,status,seg_level,sthresh,mthresh,close,use_otsu,a_t,a_h,max_n_holes,vis_level,line_thickness,use_padding,contour_fn
TCGA-38-4628-01Z-00-DX1.eee4f100-142f-4d9c-8e38-b16aab123413.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-44-2662-01B-01-BS1.C0473E69-AD92-4D16-B914-55F0A9C53320.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-44-2665-01B-05-BS5.47F3F3DF-1904-4F32-B565-9B384D19A23A.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-44-4112-01B-05-TS5.7EFDFB55-AA1B-45D0-B8D4-D3201FA08B36.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-44-6144-01A-01-TS1.0c14abeb-0023-4b75-9f81-3d0cadf37c47.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-44-6147-01A-01-BS1.cfa99719-2df2-4b32-be20-2c96483727cb.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-44-6774-01Z-00-DX1.f169485b-f863-4be0-9844-258d78170b64.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-44-6775-01Z-00-DX1.38d3bc6d-8bb5-4126-8d61-d39e6a1d7bcf.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-44-6778-01A-01-TS1.c2f70fc8-093c-4b9b-8907-4860bbea651f.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-49-4501-01Z-00-DX3.b6c2cc84-1c94-4816-92e7-8cf4446ac9ac.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-49-4506-01Z-00-DX2.81e180ae-bd9f-49cc-9a0f-297800cc7280.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-49-4512-01Z-00-DX3.2f6ec7bc-0dac-4be0-95fe-4071a93a856f.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-49-4512-01Z-00-DX6.985c9088-ff83-4f13-8a95-cb55aa48682b.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-49-4514-01Z-00-DX4.79e9e14e-72ea-4e9f-9719-d1a791cf0b43.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-49-6744-01Z-00-DX3.fa64d744-6caa-4f62-8689-33da9c312838.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-49-6745-01Z-00-DX4.48b4bbb5-4214-4bfb-91e8-bddfa2f03c92.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-49-AAR2-01A-01-TSA.9ACD343C-772D-48E4-A994-4EDFC9C1C662.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-50-5936-01A-01-TS1.74b6b1e9-fda1-4e36-ad25-36048cf168b4.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-50-5944-01A-01-TS1.f05f3c1f-13eb-48fe-b6fa-55c426792f17.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-50-6597-01A-01-TS1.454586d8-e72f-41d8-afec-6b0362b64d4f.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-50-8459-01A-01-BS1.93ce785e-7ddb-4761-bcbd-bd68bb4a6894.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-50-8460-01A-01-BS1.b6aaca18-0faf-42f9-a1ad-5b2547e7a5d6.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-55-1596-01Z-00-DX1.de65522d-92ab-408e-9b7e-24210d386b97.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
