slide_id,process,status,seg_level,sthresh,mthresh,close,use_otsu,a_t,a_h,max_n_holes,vis_level,line_thickness,use_padding,contour_fn
TCGA-21-1075-01Z-00-DX1.937872ae-4d6f-4d7a-b54f-b7e797cb84b0.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-22-4593-01Z-00-DX1.B573D1D5-88CE-4989-8A18-F9545E8ACA82.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-33-4533-01Z-00-DX3.5d3d54fc-2bee-4a9e-b9cd-d3ed84b55ef0.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-33-4547-01Z-00-DX7.91be6f90-d9ab-4345-a3bd-91805d9761b9.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-33-6738-01A-01-TS1.7e519a67-18bc-4166-bb5d-43cc34af150a.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-34-8454-01A-01-BS1.57eb576b-332b-4c9f-85e5-296eb26b6e4e.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-34-8455-01A-01-TS1.32c0c07d-c9b4-4947-be77-3a49fd73216a.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-43-7658-01Z-00-DX1.db69fbb6-59d7-49f5-adbf-f9c030b85b73.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-43-8115-01A-01-TS1.2cb3518d-a37c-498e-937d-f3584915003a.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-46-6025-01A-01-TS1.4bb881c2-54ea-4b38-99f1-f4a70ddd5207.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-51-4081-01Z-00-DX1.5971d87d-5181-4c7a-91ea-2dfad1bc5fca.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-56-7221-01A-01-TS1.97c4d16d-5160-46ac-8f46-fdc32a5ed827.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-56-8629-01Z-00-DX1.6F79BFD6-36B0-46F4-918B-2F4FF083E3E3.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-58-8386-01A-01-TS1.b88cbe55-edd8-4569-9e37-64b783dc8956.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-58-8393-01A-01-TS1.dfbda272-f25a-4bc1-9978-10123548f862.svs,0,processed,2,8,7,4,False,16,4,8,2,100,True,four_pt
TCGA-58-A46J-01A-01-TSA.8F085211-936F-40F7-87A9-53E1545C5A62.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
TCGA-63-A5MI-01A-01-TS1.04192D45-1EDB-4F5B-AC0D-2177317D73AE.svs,0,processed,3,8,7,4,False,16,4,8,3,100,True,four_pt
